testing clock progression
gate length: 95/100
iterations : 6400
ticks   clock     mask       delta     clock out
------------------------------------------------
000100  00000001  00000001   00000001  00000001
000195  00000001  00000000   00000001  00000000
000200  00000010  00000011   00000010  00000010
000300  00000011  00000011   00000001  00000011
000390  00000011  00000001   00000010  00000001
000395  00000011  00000000   00000001  00000000
000400  00000100  00000111   00000100  00000100
000500  00000101  00000111   00000001  00000101
000595  00000101  00000100   00000001  00000100
000600  00000110  00000111   00000010  00000110
000700  00000111  00000111   00000001  00000111
000780  00000111  00000011   00000100  00000011
000790  00000111  00000001   00000010  00000001
000795  00000111  00000000   00000001  00000000
000800  00001000  00001111   00001000  00001000
000900  00001001  00001111   00000001  00001001
000995  00001001  00001100   00000001  00001000
001000  00001010  00001111   00000010  00001010
001100  00001011  00001111   00000001  00001011
001190  00001011  00001001   00000010  00001001
001195  00001011  00001000   00000001  00001000
001200  00001100  00001111   00000100  00001100
001300  00001101  00001111   00000001  00001101
001395  00001101  00001100   00000001  00001100
001400  00001110  00001111   00000010  00001110
001500  00001111  00001111   00000001  00001111
001560  00001111  00000111   00001000  00000111
001580  00001111  00000011   00000100  00000011
001590  00001111  00000001   00000010  00000001
001595  00001111  00000000   00000001  00000000
001700  00010001  00001111   00000001  00000001
001795  00010001  00001100   00000001  00000000
001800  00010010  00001111   00000010  00000010
001900  00010011  00001111   00000001  00000011
001990  00010011  00001001   00000010  00000001
001995  00010011  00001000   00000001  00000000
002000  00010100  00001111   00000100  00000100
002100  00010101  00001111   00000001  00000101
002195  00010101  00001100   00000001  00000100
002200  00010110  00001111   00000010  00000110
002300  00010111  00001111   00000001  00000111
002380  00010111  00000011   00000100  00000011
002390  00010111  00000001   00000010  00000001
002395  00010111  00000000   00000001  00000000
002400  00011000  00001111   00001000  00001000
002500  00011001  00001111   00000001  00001001
002595  00011001  00001100   00000001  00001000
002600  00011010  00001111   00000010  00001010
002700  00011011  00001111   00000001  00001011
002790  00011011  00001001   00000010  00001001
002795  00011011  00001000   00000001  00001000
002800  00011100  00001111   00000100  00001100
002900  00011101  00001111   00000001  00001101
002995  00011101  00001100   00000001  00001100
003000  00011110  00001111   00000010  00001110
003100  00011111  00001111   00000001  00001111
003160  00011111  00000111   00001000  00000111
003180  00011111  00000011   00000100  00000011
003190  00011111  00000001   00000010  00000001
003195  00011111  00000000   00000001  00000000
003200  00100000  00101111   00100000  00100000
003300  00100001  00101111   00000001  00100001
003395  00100001  00101100   00000001  00100000
003400  00100010  00101111   00000010  00100010
003500  00100011  00101111   00000001  00100011
003590  00100011  00101001   00000010  00100001
003595  00100011  00101000   00000001  00100000
003600  00100100  00101111   00000100  00100100
003700  00100101  00101111   00000001  00100101
003795  00100101  00101100   00000001  00100100
003800  00100110  00101111   00000010  00100110
003900  00100111  00101111   00000001  00100111
003980  00100111  00100011   00000100  00100011
003990  00100111  00100001   00000010  00100001
003995  00100111  00100000   00000001  00100000
004000  00101000  00101111   00001000  00101000
004100  00101001  00101111   00000001  00101001
004195  00101001  00101100   00000001  00101000
004200  00101010  00101111   00000010  00101010
004300  00101011  00101111   00000001  00101011
004390  00101011  00101001   00000010  00101001
004395  00101011  00101000   00000001  00101000
004400  00101100  00101111   00000100  00101100
004500  00101101  00101111   00000001  00101101
004595  00101101  00101100   00000001  00101100
004600  00101110  00101111   00000010  00101110
004700  00101111  00101111   00000001  00101111
004760  00101111  00100111   00001000  00100111
004780  00101111  00100011   00000100  00100011
004790  00101111  00100001   00000010  00100001
004795  00101111  00100000   00000001  00100000
004900  00110001  00101111   00000001  00100001
004995  00110001  00101100   00000001  00100000
005000  00110010  00101111   00000010  00100010
005100  00110011  00101111   00000001  00100011
005190  00110011  00101001   00000010  00100001
005195  00110011  00101000   00000001  00100000
005200  00110100  00101111   00000100  00100100
005300  00110101  00101111   00000001  00100101
005395  00110101  00101100   00000001  00100100
005400  00110110  00101111   00000010  00100110
005500  00110111  00101111   00000001  00100111
005580  00110111  00100011   00000100  00100011
005590  00110111  00100001   00000010  00100001
005595  00110111  00100000   00000001  00100000
005600  00111000  00101111   00001000  00101000
005700  00111001  00101111   00000001  00101001
005795  00111001  00101100   00000001  00101000
005800  00111010  00101111   00000010  00101010
005900  00111011  00101111   00000001  00101011
005990  00111011  00101001   00000010  00101001
005995  00111011  00101000   00000001  00101000
006000  00111100  00101111   00000100  00101100
006100  00111101  00101111   00000001  00101101
006195  00111101  00101100   00000001  00101100
006200  00111110  00101111   00000010  00101110
006240  00111110  00001111   00100000  00001110
006300  00111111  00001111   00000001  00001111
006360  00111111  00000111   00001000  00000111
006380  00111111  00000011   00000100  00000011
006390  00111111  00000001   00000010  00000001
006395  00111111  00000000   00000001  00000000
